
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,Vaccine
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-21 01:21:49 +0000,2021-08-21 01:21:49 +0000,count/min,17.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-21 01:27:50 +0000,2021-08-21 01:27:50 +0000,count/min,17.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-21 01:36:50 +0000,2021-08-21 01:36:50 +0000,count/min,16.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-21 01:50:20 +0000,2021-08-21 01:50:20 +0000,count/min,16.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-21 01:53:50 +0000,2021-08-21 01:53:50 +0000,count/min,16.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-21 02:06:21 +0000,2021-08-21 02:06:21 +0000,count/min,16.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-21 02:19:21 +0000,2021-08-21 02:19:21 +0000,count/min,14.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-21 02:23:51 +0000,2021-08-21 02:23:51 +0000,count/min,14.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-21 02:38:52 +0000,2021-08-21 02:38:52 +0000,count/min,15.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-21 02:43:52 +0000,2021-08-21 02:43:52 +0000,count/min,16.0,0
