Device,Start_Date,Start_Time,End_Date,End_Time,0
HK Apple Watch,9/8/21,4:32:33,9/8/21,4:32:33,0
HK Apple Watch,9/8/21,4:34:26,9/8/21,4:34:26,0
HK Apple Watch,9/8/21,4:46:05,9/8/21,4:46:05,0
HK Apple Watch,9/8/21,4:41:58,9/8/21,4:41:58,0
HK Apple Watch,9/8/21,5:00:08,9/8/21,5:00:08,0
HK Apple Watch,9/8/21,4:50:01,9/8/21,4:50:01,0
HK Apple Watch,9/8/21,22:05:55,9/8/21,22:05:55,0
HK Apple Watch,9/8/21,22:00:36,9/8/21,22:00:36,0
HK Apple Watch,9/8/21,22:08:29,9/8/21,22:08:29,0
HK Apple Watch,9/8/21,23:43:03,9/8/21,23:43:03,0
HK Apple Watch,9/8/21,23:59:19,9/8/21,23:59:19,0
HK Apple Watch,9/8/21,23:32:25,9/8/21,23:32:25,0
HK Apple Watch,9/9/21,0:20:13,9/9/21,0:20:13,0
HK Apple Watch,9/9/21,1:08:31,9/9/21,1:08:31,0
HK Apple Watch,9/9/21,1:25:19,9/9/21,1:25:19,0
HK Apple Watch,9/9/21,0:37:11,9/9/21,0:37:11,0
HK Apple Watch,9/9/21,1:29:05,9/9/21,1:29:05,0
HK Apple Watch,9/9/21,1:33:52,9/9/21,1:33:52,0
HK Apple Watch,9/9/21,1:52:43,9/9/21,1:52:43,0
HK Apple Watch,9/9/21,1:54:57,9/9/21,1:54:57,0
HK Apple Watch,9/9/21,1:59:24,9/9/21,1:59:24,0
HK Apple Watch,9/9/21,2:15:50,9/9/21,2:15:50,0
HK Apple Watch,9/9/21,2:14:28,9/9/21,2:14:28,0
HK Apple Watch,9/9/21,2:18:25,9/9/21,2:18:25,0
HK Apple Watch,9/9/21,2:31:36,9/9/21,2:31:36,0
HK Apple Watch,9/9/21,2:34:51,9/9/21,2:34:51,0
HK Apple Watch,9/9/21,2:26:07,9/9/21,2:26:07,0
HK Apple Watch,9/9/21,2:36:44,9/9/21,2:36:44,0
HK Apple Watch,9/9/21,2:38:27,9/9/21,2:38:27,0
HK Apple Watch,9/9/21,3:08:36,9/9/21,3:08:36,0
HK Apple Watch,9/9/21,3:57:14,9/9/21,3:57:14,0
HK Apple Watch,9/9/21,4:05:17,9/9/21,4:05:17,0
HK Apple Watch,9/9/21,2:58:40,9/9/21,2:58:40,0
HK Apple Watch,9/9/21,4:08:02,9/9/21,4:08:02,0
HK Apple Watch,9/9/21,4:06:40,9/9/21,4:06:40,0
HK Apple Watch,9/9/21,22:02:20,9/9/21,22:02:20,0
HK Apple Watch,9/9/21,22:07:07,9/9/21,22:07:07,0
HK Apple Watch,9/9/21,22:03:42,9/9/21,22:03:42,0
HK Apple Watch,9/9/21,22:08:39,9/9/21,22:08:39,0
HK Apple Watch,9/9/21,22:29:39,9/9/21,22:29:39,0
HK Apple Watch,9/9/21,22:55:04,9/9/21,22:55:04,0
HK Apple Watch,9/9/21,23:18:27,9/9/21,23:18:27,0
HK Apple Watch,9/9/21,23:29:02,9/9/21,23:29:02,0
HK Apple Watch,9/9/21,23:24:57,9/9/21,23:24:57,0
HK Apple Watch,9/9/21,23:38:56,9/9/21,23:38:56,0
HK Apple Watch,9/9/21,23:20:20,9/9/21,23:20:20,0
HK Apple Watch,9/9/21,23:43:43,9/9/21,23:43:43,0
HK Apple Watch,9/9/21,23:42:42,9/9/21,23:42:42,0
HK Apple Watch,9/9/21,23:39:58,9/9/21,23:39:58,0
HK Apple Watch,9/9/21,23:49:52,9/9/21,23:49:52,0
HK Apple Watch,9/9/21,23:55:30,9/9/21,23:55:30,0
HK Apple Watch,9/9/21,23:58:24,9/9/21,23:58:24,0
HK Apple Watch,9/10/21,0:01:08,9/10/21,0:01:08,0
HK Apple Watch,9/10/21,0:18:33,9/10/21,0:18:33,0
